opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-FY26-0464,EMEA,SMB,Company 464 - DevOps & Automation,Prove,Owner 52,0,Q2 FY26,Analytics & Reporting,68076,Deep dive,2026-03-18,,,,,,Company 464,Parent Account 172,VP Eng,,No,Yes,Reg risk,M&A drive,,Competitor A,None,Security posture
OPP-FY26-0465,EMEA,Strategic Accounts,Company 465 - Security & Compliance,Commit,Owner 103,3,Q2 FY26,Data Platform Modernization,55971,,2026-02-17,2026-03-02,2026-03-28,2026-05-12,,,Company 465,Parent Account 89,Cloud Arch,No,No,,Does not scale,Exec mandate,References match,Status Quo,Partner Y,Visibility
OPP-FY26-0466,NORAM,Public Sector,Company 466 - Security & Compliance,Explore,Owner 178,1,Q2 FY26,AI/ML Enablement,52439,Exec sponsor confirm,2026-03-03,2026-03-27,,,,,Company 466,Parent Account 108,CIO,Yes,,Yes,Does not scale,Exec mandate,Strong roadmap,Internal Build,None,
OPP-FY26-0467,NORAM,Enterprise,Company 467 - Analytics & Reporting,Commit,Owner 28,2,Q3 FY26,AI/ML Enablement,86551,Implementation plan,2026-04-10,,2026-05-18,,,,Company 467,Parent Account 19,Infra Lead,Yes,No,Yes,,,,Competitor A,Partner X,Security posture
OPP-FY26-0468,APAC,Public Sector,Company 468 - Data Platform Modernization,Prove,Owner 100,0,Q2 FY26,Data Platform Modernization,94325,POC run,2026-01-17,,,,,,Company 468,Parent Account 110,Head of Data,No,Yes,Yes,,M&A drive,References match,Competitor A,Consulting Co,Security posture
OPP-FY26-0469,APAC,Mid-Market,Company 469 - DevOps & Automation,Commit,Owner 162,3,Q1 FY26,Cloud Cost Optimization,43551,POC run,2025-10-07,2025-11-03,,2025-12-12,,,Company 469,Parent Account 192,VP Eng,,No,,,Budget expires FY,Low TCO,Internal Build,Partner X,Reduce Ops
OPP-FY26-0470,NORAM,Enterprise,Company 470 - Data Platform Modernization,Commit,Owner 85,4,Q2 FY26,AI/ML Enablement,42383,Procurement alignment,2026-01-08,2026-02-14,2026-03-30,2026-04-05,159,,Company 470,Parent Account 40,,No,Yes,Yes,,,,Internal Build,Partner X,
OPP-FY26-0471,GP&A,SMB,Company 471 - Analytics & Reporting,Commit,Owner 111,1,Q3 FY26,Cloud Cost Optimization,50765,,2026-04-08,2026-05-19,,,,,Company 471,,Infra Lead,Yes,,,,Exec mandate,Best fit,Competitor B,Partner X,
OPP-FY26-0472,NORAM,Public Sector,Company 472 - AI/ML Enablement,Explore,Owner 144,4,Q1 FY26,Cloud Cost Optimization,15045,Deep dive,2025-11-17,2026-01-01,2026-01-16,,181,,Company 472,Parent Account 38,,,Yes,,Does not scale,,,Competitor B,Consulting Co,
OPP-FY26-0473,APAC,Mid-Market,Company 473 - DevOps & Automation,Explore,Owner 131,3,Q2 FY26,Security & Compliance,24122,Implementation plan,2026-01-31,,2026-03-21,2026-03-30,,,Company 473,,CIO,Yes,Yes,No,Does not scale,Exec mandate,,Competitor C,Consulting Co,
OPP-FY26-0474,NORAM,Strategic Accounts,Company 474 - Customer 360 View,Commit,Owner 105,2,Q2 FY26,DevOps & Automation,135961,Proposal review,2026-01-09,2026-02-09,2026-03-22,,,,Company 474,,,No,Yes,Yes,Fragmented tools,Budget expires FY,Low TCO,Internal Build,GSII,Faster release
OPP-FY26-0475,GP&A,Public Sector,Company 475 - AI/ML Enablement,Prove,Owner 194,2,Q1 FY26,Analytics & Reporting,160649,POC run,2025-12-17,2026-01-23,2026-03-05,,,,Company 475,,Head of Data,Yes,Yes,No,,Exec mandate,Strong roadmap,Competitor B,GSII,Security posture
OPP-FY26-0476,NORAM,Public Sector,Company 476 - Analytics & Reporting,Explore,Owner 198,4,Q1 FY26,DevOps & Automation,51563,Procurement alignment,2025-11-18,2025-12-13,2026-01-04,,230,,Company 476,Parent Account 176,Infra Lead,,No,,Does not scale,Budget expires FY,,Internal Build,GSII,Reduce Ops
OPP-FY26-0477,APAC,SMB,Company 477 - Cloud Cost Optimization,Prove,Owner 141,2,Q3 FY26,AI/ML Enablement,84620,Proposal review,2026-05-27,2026-07-05,2026-08-06,,,,Company 477,Parent Account 49,Cloud Arch,No,No,,Fragmented tools,M&A drive,References match,Competitor C,Partner X,
OPP-FY26-0478,LAC,SMB,Company 478 - Security & Compliance,Explore,Owner 191,2,Q3 FY26,DevOps & Automation,72167,,2026-04-13,2026-04-19,2026-04-24,,,,Company 478,Parent Account 11,Infra Lead,,,,Does not scale,Exec mandate,,Status Quo,GSII,
OPP-FY26-0479,EMEA,Strategic Accounts,Company 479 - Cloud Cost Optimization,Explore,Owner 64,3,Q1 FY26,Analytics & Reporting,379772,Implementation plan,2025-11-22,2025-12-29,,2026-02-13,,,Company 479,Parent Account 62,Director IT,Yes,,Yes,Reg risk,M&A drive,,Competitor A,Consulting Co,Faster release
OPP-FY26-0480,LAC,SMB,Company 480 - Data Platform Modernization,Explore,Owner 128,3,Q3 FY26,Customer 360 View,117212,Implementation plan,2026-05-06,2026-06-17,,2026-07-18,,,Company 480,Parent Account 114,Head of Data,Yes,,,Does not scale,,Strong roadmap,Internal Build,None,Faster release
OPP-FY26-0481,GP&A,Strategic Accounts,Company 481 - Cloud Cost Optimization,Prove,Owner 66,4,Q1 FY26,Data Platform Modernization,55450,Procurement alignment,2025-12-02,2026-01-15,2026-01-22,2026-02-22,216,,Company 481,Parent Account 94,VP Eng,,Yes,No,,,,Status Quo,GSII,
OPP-FY26-0482,NORAM,Mid-Market,Company 482 - AI/ML Enablement,Prove,Owner 43,1,Q3 FY26,Customer 360 View,33747,POC run,2026-05-08,2026-06-07,,,,,Company 482,Parent Account 24,,Yes,No,,Legacy expensive,,,Competitor B,None,Visibility
OPP-FY26-0483,LAC,Enterprise,Company 483 - Customer 360 View,Commit,Owner 15,4,Q3 FY26,AI/ML Enablement,22836,Proposal review,2026-04-13,2026-05-09,,,81,,Company 483,Parent Account 13,,,No,No,,Renewal soon,Best fit,Competitor A,Partner X,
OPP-FY26-0484,GP&A,Public Sector,Company 484 - AI/ML Enablement,Commit,Owner 134,2,Q2 FY26,Data Platform Modernization,67648,Procurement alignment,2026-01-26,2026-03-03,2026-04-06,,,,Company 484,,Head of Data,No,,,,Exec mandate,Low TCO,Internal Build,Consulting Co,
OPP-FY26-0485,APAC,Mid-Market,Company 485 - AI/ML Enablement,Commit,Owner 193,0,Q1 FY26,Security & Compliance,38032,,2025-12-20,,,,,,Company 485,Parent Account 152,Cloud Arch,Yes,No,,Legacy expensive,Exec mandate,References match,Competitor C,Partner Y,
OPP-FY26-0486,APAC,SMB,Company 486 - Data Platform Modernization,Explore,Owner 90,0,Q1 FY26,AI/ML Enablement,25505,Proposal review,2025-12-02,,,,,,Company 486,,Infra Lead,Yes,No,,,,,Competitor A,Partner Y,
OPP-FY26-0487,EMEA,SMB,Company 487 - Cloud Cost Optimization,Commit,Owner 150,4,Q1 FY26,Cloud Cost Optimization,40621,POC run,2025-11-25,2026-01-07,2026-02-12,2026-03-10,200,,Company 487,,Cloud Arch,Yes,Yes,Yes,,M&A drive,,Competitor B,Partner X,
OPP-FY26-0488,NORAM,Mid-Market,Company 488 - AI/ML Enablement,Commit,Owner 50,1,Q1 FY26,AI/ML Enablement,31290,,2025-10-11,2025-10-16,,,,,Company 488,,CTO,No,,,,M&A drive,Best fit,Competitor B,Consulting Co,
OPP-FY26-0489,LAC,SMB,Company 489 - DevOps & Automation,Commit,Owner 84,3,Q3 FY26,Customer 360 View,164766,POC run,2026-04-26,2026-05-20,2026-07-01,2026-07-27,,,Company 489,Parent Account 175,Cloud Arch,No,,Yes,,Exec mandate,,Status Quo,GSII,
OPP-FY26-0490,NORAM,Strategic Accounts,Company 490 - Security & Compliance,Explore,Owner 179,1,Q2 FY26,Customer 360 View,101618,Proposal review,2026-02-20,2026-03-09,,,,,Company 490,Parent Account 106,Infra Lead,No,,No,Fragmented tools,Renewal soon,,Internal Build,Partner X,Security posture
OPP-FY26-0491,GP&A,Strategic Accounts,Company 491 - Customer 360 View,Explore,Owner 104,0,Q1 FY26,AI/ML Enablement,59588,Proposal review,2025-12-18,,,,,,Company 491,,VP Eng,Yes,No,,Fragmented tools,,References match,Competitor A,Partner Y,
OPP-FY26-0492,EMEA,SMB,Company 492 - DevOps & Automation,Commit,Owner 23,1,Q1 FY26,Cloud Cost Optimization,145505,POC run,2025-10-09,2025-10-20,,,,,Company 492,Parent Account 80,,Yes,Yes,Yes,Reg risk,,Strong roadmap,Status Quo,Partner X,
OPP-FY26-0493,EMEA,Enterprise,Company 493 - AI/ML Enablement,Prove,Owner 171,3,Q2 FY26,Security & Compliance,62719,Procurement alignment,2026-03-05,2026-03-24,2026-04-06,2026-05-20,,,Company 493,Parent Account 116,VP Eng,No,No,Yes,Does not scale,,Best fit,Competitor A,Partner X,Visibility
OPP-FY26-0494,NORAM,Mid-Market,Company 494 - DevOps & Automation,Explore,Owner 73,0,Q1 FY26,Analytics & Reporting,35711,Deep dive,2025-11-07,,,,,,Company 494,Parent Account 82,Head of Data,No,Yes,No,Legacy expensive,Renewal soon,,Competitor A,Partner X,Visibility
OPP-FY26-0495,EMEA,Strategic Accounts,Company 495 - Security & Compliance,Prove,Owner 191,2,Q2 FY26,DevOps & Automation,149324,Procurement alignment,2026-01-08,2026-01-22,2026-02-25,,,,Company 495,Parent Account 81,Cloud Arch,,Yes,,,,References match,Competitor B,Partner Y,
OPP-FY26-0496,LAC,SMB,Company 496 - Data Platform Modernization,Explore,Owner 27,0,Q2 FY26,AI/ML Enablement,82730,POC run,2026-03-11,,,,,,Company 496,,Head of Data,Yes,No,Yes,Fragmented tools,Exec mandate,,Competitor C,Partner X,Faster release
OPP-FY26-0497,LAC,Public Sector,Company 497 - Security & Compliance,Prove,Owner 152,0,Q2 FY26,Security & Compliance,32133,Procurement alignment,2026-01-30,,,,,,Company 497,Parent Account 77,Infra Lead,Yes,No,Yes,,,Low TCO,Competitor A,GSII,
OPP-FY26-0498,LAC,SMB,Company 498 - Analytics & Reporting,Explore,Owner 61,2,Q3 FY26,AI/ML Enablement,53412,,2026-04-15,,2026-07-10,,,,Company 498,Parent Account 85,CTO,,,Yes,,,Strong roadmap,Internal Build,Partner Y,
OPP-FY26-0499,LAC,Public Sector,Company 499 - DevOps & Automation,Explore,Owner 20,1,Q2 FY26,Security & Compliance,35405,POC run,2026-01-01,2026-01-10,,,,,Company 499,,Cloud Arch,,No,Yes,,M&A drive,References match,Competitor C,Partner X,Security posture
OPP-FY26-0500,LAC,Enterprise,Company 500 - Cloud Cost Optimization,Explore,Owner 38,2,Q1 FY26,Data Platform Modernization,26116,POC run,2025-11-15,2025-12-12,2025-12-27,,,,Company 500,Parent Account 177,,,No,,,Budget expires FY,References match,Competitor A,Partner Y,Faster release
