opportunity number,region,Sales Team,Opportunity Name,epc phase,opportunity owner,Stage,Fiscal Period,Use Case,ACV ($),Next Steps,date in stage 0,date in Stage 1,Date in Stage 2,date in stage 3,days in stage 4,date in stage 5,account name,account grouping,contact title,Budget approved,Compelling event established,Close plan agreed,Why Anything?,Why Now?,Why us as a vendor?,Competitor,Partner,customer Need for our solution
OPP-HIST-00369,APAC,SMB,Company 1369 - Data Platform Modernization,Commit,Owner 9,Closed Won,Q2 FY25,DevOps & Automation,94938,POC run,2025-03-22,2025-04-03,,2025-04-15,19,2025-05-16,Company 1369,Parent Account 141,Cloud Arch,No,,,,,,Competitor B,Partner X,
OPP-HIST-00370,LAC,Public Sector,Company 1370 - DevOps & Automation,Prove,Owner 81,Closed Lost,Q1 FY24,AI/ML Enablement,244542,,2023-11-27,2023-12-20,2024-01-02,2024-02-13,42,2024-04-17,Company 1370,,CTO,No,,,,Exec mandate,,Competitor B,Partner Y,
OPP-HIST-00371,LAC,Enterprise,Company 1371 - Analytics & Reporting,Prove,Owner 27,Closed Won,Q1 FY25,Analytics & Reporting,52898,Implementation plan,2024-12-13,2024-12-18,2025-01-13,,31,2025-04-13,Company 1371,,CIO,No,Yes,Yes,Legacy expensive,M&A drive,Strong roadmap,Internal Build,None,Visibility
OPP-HIST-00372,NORAM,Enterprise,Company 1372 - Security & Compliance,Explore,Owner 67,Closed Won,Q1 FY24,Data Platform Modernization,34241,POC run,2023-11-19,2023-12-18,2023-12-26,2024-01-18,33,2024-03-02,Company 1372,Parent Account 101,CTO,Yes,Yes,No,Legacy expensive,Renewal soon,Low TCO,Internal Build,Consulting Co,Visibility
OPP-HIST-00373,LAC,Enterprise,Company 1373 - Analytics & Reporting,Explore,Owner 149,Closed Won,Q2 FY25,DevOps & Automation,22799,Deep dive,2025-03-04,2025-03-22,,2025-06-14,3,2025-07-16,Company 1373,Parent Account 97,Infra Lead,Yes,No,Yes,,,Best fit,Status Quo,Partner X,Visibility
OPP-HIST-00374,LAC,Enterprise,Company 1374 - Data Platform Modernization,Prove,Owner 116,Closed Won,Q2 FY25,Customer 360 View,35894,Deep dive,2025-02-21,2025-04-05,2025-04-14,,24,2025-06-02,Company 1374,Parent Account 1,Head of Data,Yes,No,No,Reg risk,,,Competitor C,Consulting Co,Security posture
OPP-HIST-00375,GP&A,SMB,Company 1375 - Data Platform Modernization,Commit,Owner 161,Closed Lost,Q3 FY24,Cloud Cost Optimization,58501,Proposal review,2024-04-13,2024-04-25,2024-05-27,2024-06-19,,2024-09-05,Company 1375,Parent Account 59,CTO,Yes,,No,,,Best fit,Internal Build,GSII,Reduce Ops
OPP-HIST-00376,EMEA,SMB,Company 1376 - AI/ML Enablement,Explore,Owner 43,Closed Lost,Q2 FY25,Security & Compliance,210279,Exec sponsor confirm,2025-02-20,,2025-03-22,,18,2025-06-10,Company 1376,Parent Account 100,,No,No,No,Reg risk,Exec mandate,Low TCO,Competitor B,Consulting Co,
OPP-HIST-00377,EMEA,Public Sector,Company 1377 - Security & Compliance,Explore,Owner 10,Closed Lost,Q3 FY24,Customer 360 View,41675,POC run,2024-05-16,2024-06-17,2024-07-19,2024-07-22,31,2024-08-29,Company 1377,Parent Account 19,,No,,,,,Strong roadmap,Status Quo,Consulting Co,Faster release
OPP-HIST-00378,APAC,Strategic Accounts,Company 1378 - Analytics & Reporting,Commit,Owner 7,Closed Won,Q2 FY24,DevOps & Automation,70028,Proposal review,2024-03-19,2024-05-03,2024-06-08,2024-06-30,39,2024-09-22,Company 1378,Parent Account 63,CIO,Yes,Yes,No,Legacy expensive,Renewal soon,References match,Internal Build,Partner Y,Visibility
OPP-HIST-00379,EMEA,Public Sector,Company 1379 - AI/ML Enablement,Prove,Owner 170,Closed Won,Q2 FY24,Analytics & Reporting,59189,Implementation plan,2024-02-23,2024-03-16,2024-04-15,2024-04-27,,2024-06-21,Company 1379,Parent Account 123,Infra Lead,No,No,Yes,Legacy expensive,M&A drive,References match,Competitor A,Consulting Co,Visibility
OPP-HIST-00380,LAC,Public Sector,Company 1380 - Customer 360 View,Explore,Owner 95,Closed Lost,Q1 FY25,AI/ML Enablement,137568,Deep dive,2024-10-26,,2024-12-15,,,2025-03-21,Company 1380,Parent Account 54,Cloud Arch,,No,No,Fragmented tools,Budget expires FY,,Competitor B,Consulting Co,Visibility
OPP-HIST-00381,APAC,Enterprise,Company 1381 - Cloud Cost Optimization,Commit,Owner 21,Closed Won,Q2 FY25,DevOps & Automation,351109,Proposal review,2025-01-10,2025-02-19,2025-03-03,,,2025-05-02,Company 1381,,,No,,,Does not scale,,Low TCO,Competitor A,Partner X,Reduce Ops
OPP-HIST-00382,GP&A,Mid-Market,Company 1382 - Security & Compliance,Commit,Owner 56,Closed Won,Q3 FY24,Cloud Cost Optimization,41290,Exec sponsor confirm,2024-05-06,,2024-07-12,2024-08-08,9,2024-09-25,Company 1382,Parent Account 68,,No,Yes,No,Does not scale,,,Competitor A,None,Reduce Ops
OPP-HIST-00383,NORAM,Mid-Market,Company 1383 - AI/ML Enablement,Prove,Owner 196,Closed Won,Q1 FY24,DevOps & Automation,42505,Proposal review,2023-11-24,2023-12-02,,2024-02-04,10,2024-03-06,Company 1383,Parent Account 156,CTO,Yes,Yes,No,Fragmented tools,,Low TCO,Competitor B,Partner Y,
OPP-HIST-00384,NORAM,Mid-Market,Company 1384 - Data Platform Modernization,Explore,Owner 158,Closed Lost,Q1 FY25,Analytics & Reporting,124357,Exec sponsor confirm,2024-11-08,2024-12-21,2025-01-18,2025-02-19,,2025-03-14,Company 1384,Parent Account 78,Infra Lead,Yes,No,No,,,,Status Quo,None,Visibility
OPP-HIST-00385,LAC,Strategic Accounts,Company 1385 - Customer 360 View,Explore,Owner 44,Closed Lost,Q1 FY24,Customer 360 View,96502,Proposal review,2023-10-22,2023-11-15,,2024-01-02,45,2024-03-28,Company 1385,Parent Account 39,CIO,No,Yes,Yes,Reg risk,,Best fit,Competitor C,Partner X,
OPP-HIST-00386,EMEA,Strategic Accounts,Company 1386 - Analytics & Reporting,Commit,Owner 81,Closed Lost,Q2 FY24,Cloud Cost Optimization,218096,Proposal review,2024-03-17,2024-04-28,2024-06-07,2024-07-16,32,2024-09-20,Company 1386,Parent Account 165,,No,,No,Reg risk,,,Competitor C,Consulting Co,Faster release
OPP-HIST-00387,LAC,Mid-Market,Company 1387 - Customer 360 View,Explore,Owner 161,Closed Lost,Q1 FY24,DevOps & Automation,90106,,2023-11-11,,2024-01-14,2024-02-04,16,2024-03-04,Company 1387,Parent Account 131,Director IT,Yes,Yes,,,M&A drive,Strong roadmap,Competitor B,Partner Y,Visibility
OPP-HIST-00388,LAC,Strategic Accounts,Company 1388 - Analytics & Reporting,Explore,Owner 162,Closed Lost,Q2 FY24,Data Platform Modernization,46559,,2024-03-06,2024-04-06,,2024-05-18,11,2024-06-19,Company 1388,Parent Account 160,Infra Lead,No,,No,Fragmented tools,Exec mandate,Strong roadmap,Competitor B,Consulting Co,
OPP-HIST-00389,NORAM,SMB,Company 1389 - DevOps & Automation,Explore,Owner 164,Closed Lost,Q1 FY24,Security & Compliance,90531,Deep dive,2023-11-23,,,2024-01-25,11,2024-02-16,Company 1389,,VP Eng,Yes,Yes,Yes,Fragmented tools,,References match,Internal Build,None,Faster release
OPP-HIST-00390,GP&A,SMB,Company 1390 - Customer 360 View,Prove,Owner 2,Closed Won,Q2 FY24,DevOps & Automation,130104,,2024-03-22,,,,3,2024-05-23,Company 1390,Parent Account 75,Cloud Arch,,Yes,,Reg risk,Budget expires FY,,Competitor A,GSII,Visibility
OPP-HIST-00391,NORAM,Mid-Market,Company 1391 - DevOps & Automation,Explore,Owner 35,Closed Won,Q2 FY24,Data Platform Modernization,106333,Implementation plan,2024-03-05,2024-04-03,2024-05-15,,9,2024-07-31,Company 1391,Parent Account 141,CTO,No,Yes,No,Does not scale,,Strong roadmap,Competitor B,None,
OPP-HIST-00392,GP&A,Enterprise,Company 1392 - Security & Compliance,Explore,Owner 114,Closed Lost,Q1 FY24,Customer 360 View,85399,Exec sponsor confirm,2023-10-30,2023-11-23,2023-12-06,2023-12-29,35,2024-02-25,Company 1392,Parent Account 61,CIO,No,Yes,,,Exec mandate,,Competitor B,GSII,Security posture
OPP-HIST-00393,APAC,Enterprise,Company 1393 - DevOps & Automation,Explore,Owner 115,Closed Won,Q2 FY25,Cloud Cost Optimization,126332,Procurement alignment,2025-03-19,2025-04-14,2025-05-25,2025-06-08,23,2025-07-06,Company 1393,,Cloud Arch,No,No,No,,,Strong roadmap,Status Quo,Consulting Co,Visibility
OPP-HIST-00394,NORAM,SMB,Company 1394 - AI/ML Enablement,Prove,Owner 175,Closed Won,Q1 FY24,Security & Compliance,135741,Deep dive,2023-12-29,,2024-02-25,2024-03-10,16,2024-04-05,Company 1394,Parent Account 163,Head of Data,,,Yes,Legacy expensive,M&A drive,Best fit,Competitor C,Consulting Co,Visibility
OPP-HIST-00395,LAC,Public Sector,Company 1395 - Customer 360 View,Prove,Owner 132,Closed Won,Q1 FY25,Customer 360 View,157552,Implementation plan,2024-11-26,2024-12-12,2025-01-17,,36,2025-05-04,Company 1395,,VP Eng,No,,Yes,,Exec mandate,Strong roadmap,Competitor C,Consulting Co,Security posture
OPP-HIST-00396,EMEA,Strategic Accounts,Company 1396 - Analytics & Reporting,Prove,Owner 146,Closed Won,Q1 FY24,DevOps & Automation,94286,POC run,2023-10-29,2023-11-03,,2024-01-01,13,2024-02-23,Company 1396,Parent Account 188,VP Eng,Yes,No,Yes,Reg risk,Exec mandate,Best fit,Internal Build,GSII,Faster release
OPP-HIST-00397,GP&A,Enterprise,Company 1397 - Analytics & Reporting,Commit,Owner 120,Closed Lost,Q1 FY25,AI/ML Enablement,53264,,2024-10-19,2024-11-15,2024-12-18,2025-01-23,16,2025-03-02,Company 1397,Parent Account 176,Infra Lead,No,Yes,Yes,,Budget expires FY,,Competitor B,Partner Y,Faster release
OPP-HIST-00398,NORAM,Strategic Accounts,Company 1398 - Security & Compliance,Prove,Owner 178,Closed Lost,Q1 FY25,Analytics & Reporting,66350,Procurement alignment,2024-11-03,,2025-01-04,,17,2025-02-09,Company 1398,Parent Account 160,Director IT,,,No,Does not scale,Exec mandate,Best fit,Competitor C,GSII,Security posture
OPP-HIST-00399,GP&A,Strategic Accounts,Company 1399 - Cloud Cost Optimization,Explore,Owner 28,Closed Won,Q1 FY25,DevOps & Automation,139323,POC run,2024-10-11,2024-10-23,,2024-11-02,10,2024-12-11,Company 1399,Parent Account 163,CTO,Yes,,,,Budget expires FY,Best fit,Competitor A,GSII,Faster release
OPP-HIST-00400,GP&A,Mid-Market,Company 1400 - DevOps & Automation,Prove,Owner 110,Closed Won,Q2 FY24,AI/ML Enablement,33797,,2024-03-26,2024-04-20,2024-05-08,2024-06-22,19,2024-07-14,Company 1400,Parent Account 197,Head of Data,No,,Yes,Legacy expensive,,,Status Quo,Partner Y,Reduce Ops
OPP-HIST-00401,GP&A,Enterprise,Company 1401 - AI/ML Enablement,Commit,Owner 10,Closed Lost,Q2 FY24,DevOps & Automation,77502,POC run,2024-03-18,2024-03-30,,,14,2024-06-25,Company 1401,,,Yes,,,,Renewal soon,References match,Competitor A,Consulting Co,Reduce Ops
OPP-HIST-00402,APAC,SMB,Company 1402 - Security & Compliance,Explore,Owner 123,Closed Won,Q1 FY25,Security & Compliance,45463,,2024-11-19,2024-12-07,,2025-02-02,7,2025-03-24,Company 1402,Parent Account 107,CIO,Yes,Yes,No,Legacy expensive,Renewal soon,Strong roadmap,Status Quo,None,Faster release
OPP-HIST-00403,NORAM,Strategic Accounts,Company 1403 - Customer 360 View,Commit,Owner 14,Closed Lost,Q3 FY25,Data Platform Modernization,61091,Deep dive,2025-05-27,,2025-06-14,2025-07-12,12,2025-08-08,Company 1403,Parent Account 108,VP Eng,,No,Yes,Reg risk,Renewal soon,Strong roadmap,Competitor C,GSII,Reduce Ops
OPP-HIST-00404,GP&A,SMB,Company 1404 - AI/ML Enablement,Prove,Owner 118,Closed Won,Q2 FY24,AI/ML Enablement,146519,Implementation plan,2024-02-18,2024-03-21,,2024-05-12,38,2024-07-23,Company 1404,Parent Account 158,Head of Data,No,Yes,Yes,Fragmented tools,Budget expires FY,Best fit,Competitor A,Consulting Co,
OPP-HIST-00405,NORAM,Enterprise,Company 1405 - DevOps & Automation,Commit,Owner 103,Closed Lost,Q1 FY24,Data Platform Modernization,68443,Exec sponsor confirm,2023-12-27,2024-01-11,,2024-02-21,36,2024-05-11,Company 1405,,Cloud Arch,No,Yes,Yes,Legacy expensive,,,Competitor C,GSII,Visibility
OPP-HIST-00406,APAC,Public Sector,Company 1406 - Analytics & Reporting,Commit,Owner 176,Closed Lost,Q1 FY25,AI/ML Enablement,61852,,2024-10-22,2024-11-30,2025-01-10,2025-01-18,,2025-04-08,Company 1406,,CIO,Yes,Yes,Yes,,,Strong roadmap,Status Quo,Consulting Co,Faster release
OPP-HIST-00407,GP&A,Enterprise,Company 1407 - Analytics & Reporting,Explore,Owner 128,Closed Lost,Q1 FY25,Cloud Cost Optimization,23111,,2024-12-15,2025-01-13,,2025-03-07,23,2025-04-05,Company 1407,,CIO,Yes,No,Yes,Legacy expensive,,Low TCO,Competitor B,None,Faster release
OPP-HIST-00408,GP&A,SMB,Company 1408 - Data Platform Modernization,Explore,Owner 89,Closed Won,Q2 FY25,AI/ML Enablement,100949,Procurement alignment,2025-03-04,2025-04-06,2025-04-26,2025-06-09,44,2025-08-24,Company 1408,Parent Account 175,Head of Data,No,,Yes,Fragmented tools,Budget expires FY,Low TCO,Competitor C,Partner X,
OPP-HIST-00409,GP&A,Enterprise,Company 1409 - Analytics & Reporting,Commit,Owner 82,Closed Lost,Q2 FY25,AI/ML Enablement,94074,Implementation plan,2025-03-06,2025-03-23,2025-04-23,2025-05-23,39,2025-07-29,Company 1409,,Cloud Arch,No,Yes,No,Reg risk,,Low TCO,Competitor B,GSII,
OPP-HIST-00410,NORAM,SMB,Company 1410 - Security & Compliance,Prove,Owner 189,Closed Won,Q2 FY25,Cloud Cost Optimization,272196,POC run,2025-03-22,,2025-05-17,2025-06-05,,2025-07-18,Company 1410,,CIO,Yes,No,Yes,Does not scale,M&A drive,Strong roadmap,Competitor B,Partner X,Reduce Ops
OPP-HIST-00411,APAC,Mid-Market,Company 1411 - Security & Compliance,Commit,Owner 108,Closed Lost,Q1 FY25,Security & Compliance,48269,,2024-10-31,2024-12-05,2025-01-19,2025-02-04,45,2025-03-27,Company 1411,Parent Account 127,Infra Lead,Yes,,Yes,Reg risk,Renewal soon,Best fit,Competitor C,Consulting Co,Security posture
OPP-HIST-00412,GP&A,Mid-Market,Company 1412 - Cloud Cost Optimization,Prove,Owner 111,Closed Won,Q2 FY25,AI/ML Enablement,69801,Exec sponsor confirm,2025-01-23,2025-02-14,2025-03-13,2025-03-16,14,2025-04-20,Company 1412,Parent Account 87,,No,Yes,Yes,Reg risk,M&A drive,References match,Competitor C,GSII,Security posture
OPP-HIST-00413,NORAM,Strategic Accounts,Company 1413 - Cloud Cost Optimization,Commit,Owner 85,Closed Lost,Q2 FY24,Security & Compliance,71294,Exec sponsor confirm,2024-01-24,,2024-02-21,2024-03-10,3,2024-04-02,Company 1413,Parent Account 86,Infra Lead,Yes,Yes,,Does not scale,Exec mandate,References match,Internal Build,GSII,
OPP-HIST-00414,GP&A,SMB,Company 1414 - Customer 360 View,Prove,Owner 133,Closed Won,Q2 FY25,Analytics & Reporting,180632,,2025-01-01,2025-01-30,,2025-04-06,11,2025-04-28,Company 1414,Parent Account 60,CIO,Yes,No,,,M&A drive,Best fit,Internal Build,Partner X,Faster release
OPP-HIST-00415,LAC,Mid-Market,Company 1415 - Customer 360 View,Prove,Owner 139,Closed Won,Q1 FY24,AI/ML Enablement,56010,,2023-12-16,2024-01-17,,2024-03-11,,2024-04-02,Company 1415,Parent Account 82,Infra Lead,No,No,,Reg risk,,,Status Quo,None,Reduce Ops
OPP-HIST-00416,LAC,Public Sector,Company 1416 - Analytics & Reporting,Prove,Owner 45,Closed Won,Q1 FY24,DevOps & Automation,72788,POC run,2023-11-13,2023-12-28,2024-02-02,2024-03-10,30,2024-05-06,Company 1416,,VP Eng,Yes,,Yes,Legacy expensive,,,Competitor B,Partner X,Reduce Ops
OPP-HIST-00417,NORAM,Public Sector,Company 1417 - AI/ML Enablement,Commit,Owner 97,Closed Won,Q2 FY25,DevOps & Automation,91631,,2025-02-11,2025-03-13,,2025-04-14,33,2025-06-17,Company 1417,Parent Account 2,Head of Data,No,Yes,No,Fragmented tools,Budget expires FY,Strong roadmap,Competitor C,GSII,
OPP-HIST-00418,LAC,Strategic Accounts,Company 1418 - Security & Compliance,Explore,Owner 33,Closed Lost,Q1 FY25,Security & Compliance,68229,POC run,2024-11-14,2024-11-29,2025-01-12,,34,2025-03-29,Company 1418,,Infra Lead,Yes,No,Yes,Legacy expensive,Renewal soon,Best fit,Competitor C,GSII,Faster release
OPP-HIST-00419,APAC,SMB,Company 1419 - Analytics & Reporting,Commit,Owner 108,Closed Lost,Q2 FY25,AI/ML Enablement,43804,Exec sponsor confirm,2025-03-29,,,2025-06-25,44,2025-09-09,Company 1419,,Director IT,No,No,Yes,Does not scale,Exec mandate,References match,Competitor B,Partner Y,Reduce Ops
OPP-HIST-00420,NORAM,Mid-Market,Company 1420 - DevOps & Automation,Commit,Owner 68,Closed Lost,Q1 FY25,Customer 360 View,68587,Implementation plan,2024-10-19,2024-11-01,2024-11-22,2024-12-29,,2025-03-04,Company 1420,,Infra Lead,Yes,Yes,Yes,,,,Competitor B,None,Visibility
OPP-HIST-00421,LAC,Enterprise,Company 1421 - Cloud Cost Optimization,Commit,Owner 173,Closed Won,Q3 FY24,Cloud Cost Optimization,126949,POC run,2024-05-30,2024-07-04,,2024-08-15,12,2024-09-23,Company 1421,Parent Account 56,CTO,Yes,,No,,Exec mandate,Strong roadmap,Status Quo,GSII,Faster release
OPP-HIST-00422,NORAM,Strategic Accounts,Company 1422 - Security & Compliance,Commit,Owner 182,Closed Won,Q3 FY25,AI/ML Enablement,29185,POC run,2025-05-18,2025-06-08,2025-07-03,2025-08-06,,2025-09-25,Company 1422,Parent Account 132,VP Eng,No,Yes,Yes,Legacy expensive,,Low TCO,Status Quo,None,Reduce Ops
OPP-HIST-00423,EMEA,Mid-Market,Company 1423 - Cloud Cost Optimization,Explore,Owner 11,Closed Won,Q2 FY24,AI/ML Enablement,65714,POC run,2024-03-15,2024-04-07,,2024-04-23,43,2024-07-17,Company 1423,Parent Account 196,Head of Data,No,Yes,,Does not scale,,Low TCO,Competitor C,GSII,Visibility
OPP-HIST-00424,EMEA,Mid-Market,Company 1424 - Data Platform Modernization,Prove,Owner 147,Closed Lost,Q1 FY24,Customer 360 View,36677,Exec sponsor confirm,2023-11-21,2023-12-21,,2024-01-28,,2024-03-16,Company 1424,Parent Account 182,CIO,No,,Yes,Does not scale,,Low TCO,Competitor A,Partner Y,Security posture
OPP-HIST-00425,GP&A,Public Sector,Company 1425 - AI/ML Enablement,Explore,Owner 48,Closed Lost,Q1 FY25,Security & Compliance,138210,Proposal review,2024-11-29,,2025-01-22,2025-02-17,7,2025-03-29,Company 1425,Parent Account 33,CIO,,Yes,Yes,,Exec mandate,Strong roadmap,Competitor B,None,Visibility
OPP-HIST-00426,LAC,Enterprise,Company 1426 - Customer 360 View,Explore,Owner 18,Closed Won,Q3 FY25,Security & Compliance,20614,Implementation plan,2025-04-01,2025-04-08,,,22,2025-08-04,Company 1426,Parent Account 144,Infra Lead,,,No,Reg risk,Exec mandate,Low TCO,Competitor A,Partner X,Reduce Ops
OPP-HIST-00427,APAC,Mid-Market,Company 1427 - Data Platform Modernization,Prove,Owner 152,Closed Lost,Q1 FY25,AI/ML Enablement,40487,Proposal review,2024-10-24,,2024-12-15,,,2025-03-14,Company 1427,Parent Account 127,CIO,No,,No,Legacy expensive,,Low TCO,Competitor B,Partner X,
OPP-HIST-00428,APAC,Mid-Market,Company 1428 - Analytics & Reporting,Commit,Owner 157,Closed Lost,Q2 FY24,Analytics & Reporting,77967,Implementation plan,2024-02-05,2024-03-20,2024-04-24,2024-05-01,,2024-06-22,Company 1428,,CIO,,No,No,Reg risk,Budget expires FY,Best fit,Competitor B,Partner Y,
OPP-HIST-00429,NORAM,Mid-Market,Company 1429 - Data Platform Modernization,Explore,Owner 8,Closed Lost,Q3 FY24,Data Platform Modernization,179129,,2024-04-08,2024-05-01,2024-06-06,,,2024-07-23,Company 1429,,Cloud Arch,No,Yes,,Does not scale,Renewal soon,,Status Quo,GSII,Reduce Ops
OPP-HIST-00430,EMEA,Public Sector,Company 1430 - Analytics & Reporting,Explore,Owner 200,Closed Won,Q1 FY25,AI/ML Enablement,57180,Deep dive,2024-12-26,2025-01-15,,2025-03-04,16,2025-03-30,Company 1430,Parent Account 144,CTO,,,Yes,,Budget expires FY,References match,Competitor C,Consulting Co,Faster release
OPP-HIST-00431,NORAM,Public Sector,Company 1431 - AI/ML Enablement,Prove,Owner 103,Closed Won,Q2 FY24,Cloud Cost Optimization,40593,Procurement alignment,2024-01-19,2024-02-21,,,,2024-05-05,Company 1431,Parent Account 132,,,,Yes,Legacy expensive,Exec mandate,References match,Competitor A,Consulting Co,
OPP-HIST-00432,EMEA,Strategic Accounts,Company 1432 - Data Platform Modernization,Prove,Owner 45,Closed Lost,Q3 FY24,Customer 360 View,223420,POC run,2024-05-22,2024-05-26,,2024-07-07,,2024-07-22,Company 1432,,Director IT,No,Yes,Yes,,Exec mandate,,Competitor C,None,Security posture
OPP-HIST-00433,LAC,Strategic Accounts,Company 1433 - Analytics & Reporting,Commit,Owner 121,Closed Lost,Q1 FY25,DevOps & Automation,21728,Proposal review,2024-10-08,2024-10-11,2024-10-28,2024-10-31,,2024-11-16,Company 1433,Parent Account 26,Infra Lead,No,Yes,Yes,Fragmented tools,Exec mandate,,Status Quo,Partner Y,
OPP-HIST-00434,LAC,SMB,Company 1434 - Customer 360 View,Prove,Owner 49,Closed Lost,Q2 FY25,Analytics & Reporting,12846,Deep dive,2025-02-24,,,2025-04-28,37,2025-06-09,Company 1434,Parent Account 4,Infra Lead,No,No,No,Fragmented tools,Budget expires FY,,Status Quo,Consulting Co,Faster release
OPP-HIST-00435,APAC,Strategic Accounts,Company 1435 - Security & Compliance,Prove,Owner 79,Closed Lost,Q3 FY24,Customer 360 View,81471,Procurement alignment,2024-05-01,2024-05-09,,,,2024-08-16,Company 1435,Parent Account 73,Infra Lead,Yes,Yes,Yes,Legacy expensive,M&A drive,,Internal Build,Partner X,Faster release
OPP-HIST-00436,LAC,SMB,Company 1436 - Customer 360 View,Prove,Owner 24,Closed Lost,Q1 FY25,Security & Compliance,42131,POC run,2024-11-02,2024-12-14,2025-01-04,2025-02-16,,2025-04-25,Company 1436,Parent Account 164,Cloud Arch,Yes,No,Yes,,M&A drive,References match,Status Quo,None,Visibility
OPP-HIST-00437,APAC,Public Sector,Company 1437 - Analytics & Reporting,Prove,Owner 10,Closed Lost,Q1 FY24,Cloud Cost Optimization,29293,Exec sponsor confirm,2023-11-05,2023-12-04,2023-12-27,,,2024-03-26,Company 1437,,CIO,,,No,,Renewal soon,,Status Quo,Consulting Co,Security posture
OPP-HIST-00438,GP&A,SMB,Company 1438 - Customer 360 View,Commit,Owner 187,Closed Lost,Q3 FY24,AI/ML Enablement,98306,Proposal review,2024-04-14,2024-05-06,2024-06-09,2024-06-25,36,2024-09-14,Company 1438,Parent Account 121,Head of Data,Yes,,No,,Renewal soon,Best fit,Internal Build,Consulting Co,Visibility
